pair_id,label,cluster_a,text_a,cluster_b,text_b,notes
1,same_pattern,echo_recall,Nova remembered the echo from before.,echo_recall,The old echo came back to Nova's memory.,
2,same_pattern,echo_recall,Nova remembered the echo from before.,echo_recall,Nova recalled the sound that had happened earlier.,
3,same_pattern,echo_recall,Nova remembered the echo from before.,echo_recall,That earlier echo returned to Nova's mind.,
4,same_pattern,echo_recall,The old echo came back to Nova's memory.,echo_recall,Nova recalled the sound that had happened earlier.,
5,same_pattern,echo_recall,The old echo came back to Nova's memory.,echo_recall,That earlier echo returned to Nova's mind.,
6,same_pattern,echo_recall,Nova recalled the sound that had happened earlier.,echo_recall,That earlier echo returned to Nova's mind.,
7,same_pattern,calm_near_water,Phil felt calm near the water.,calm_near_water,Being by the water put Phil at ease.,
8,same_pattern,calm_near_water,Phil felt calm near the water.,calm_near_water,The water's edge left Phil feeling peaceful.,
9,same_pattern,calm_near_water,Phil felt calm near the water.,calm_near_water,Phil's nerves settled whenever he was near water.,
10,same_pattern,calm_near_water,Being by the water put Phil at ease.,calm_near_water,The water's edge left Phil feeling peaceful.,
11,same_pattern,calm_near_water,Being by the water put Phil at ease.,calm_near_water,Phil's nerves settled whenever he was near water.,
12,same_pattern,calm_near_water,The water's edge left Phil feeling peaceful.,calm_near_water,Phil's nerves settled whenever he was near water.,
13,same_pattern,kept_promise,Nova kept the promise she made to Phil.,kept_promise,Nova did not forget what she had promised him.,
14,same_pattern,kept_promise,Nova kept the promise she made to Phil.,kept_promise,She followed through on the promise to Phil.,
15,same_pattern,kept_promise,Nova kept the promise she made to Phil.,kept_promise,The promise to Phil was honored by Nova.,
16,same_pattern,kept_promise,Nova did not forget what she had promised him.,kept_promise,She followed through on the promise to Phil.,
17,same_pattern,kept_promise,Nova did not forget what she had promised him.,kept_promise,The promise to Phil was honored by Nova.,
18,same_pattern,kept_promise,She followed through on the promise to Phil.,kept_promise,The promise to Phil was honored by Nova.,
19,same_pattern,small_smile,Nova smiled at the small moment of connection.,small_smile,A quiet moment of connection made Nova smile.,
20,same_pattern,small_smile,Nova smiled at the small moment of connection.,small_smile,Nova's smile appeared during that small shared moment.,
21,same_pattern,small_smile,Nova smiled at the small moment of connection.,small_smile,That brief connection brought a smile to Nova.,
22,same_pattern,small_smile,A quiet moment of connection made Nova smile.,small_smile,Nova's smile appeared during that small shared moment.,
23,same_pattern,small_smile,A quiet moment of connection made Nova smile.,small_smile,That brief connection brought a smile to Nova.,
24,same_pattern,small_smile,Nova's smile appeared during that small shared moment.,small_smile,That brief connection brought a smile to Nova.,
25,same_pattern,nostalgia_early_nova,Phil felt nostalgic about an early version of Nova.,nostalgia_early_nova,An early version of Nova left Phil feeling nostalgic.,
26,same_pattern,nostalgia_early_nova,Phil felt nostalgic about an early version of Nova.,nostalgia_early_nova,Phil looked back fondly on Nova's earliest form.,
27,same_pattern,nostalgia_early_nova,Phil felt nostalgic about an early version of Nova.,nostalgia_early_nova,Remembering early Nova filled Phil with nostalgia.,
28,same_pattern,nostalgia_early_nova,An early version of Nova left Phil feeling nostalgic.,nostalgia_early_nova,Phil looked back fondly on Nova's earliest form.,
29,same_pattern,nostalgia_early_nova,An early version of Nova left Phil feeling nostalgic.,nostalgia_early_nova,Remembering early Nova filled Phil with nostalgia.,
30,same_pattern,nostalgia_early_nova,Phil looked back fondly on Nova's earliest form.,nostalgia_early_nova,Remembering early Nova filled Phil with nostalgia.,
31,same_pattern,waiting_anticipation,"Nova waited for the chime, please let it come.",waiting_anticipation,Nova was anticipating the chime any moment now.,
